Origin-Destination SPLC,Commodity Group Name,Time Window (SmmddccyyEmmddccyy),Tons
'844126844397,CHEM_PET,S07012019E07312019,8760
'380000853470,MO_VEH,S09012019E09302019,11440
'584092883737,MET_ORE,S08012019E08312019,880
'322420380670,FOR_PROD,S04012019E04302019,3920
'883000684800,MET_ORE,S06012019E06302019,1680
'647000876496,CHEM_PET,S01012019E01312019,3520
'506754854136,AG_FOOD,S03012019E03312019,3960
'686279684300,OTHER,S08012019E08312019,1360
'439875647000,IM,S06012019E06302019,5360
'504730566900,AG_FOOD,S07012019E07312019,4000
'333332646132,CHEM_PET,S05012019E05312019,5700
'875640684800,AG_FOOD,S10012019E10312019,4960
'588440708550,CHEM_PET,S01012019E01312019,4040
'774900381299,IM,S01012019E01312019,640
'797000584092,IM,S06012019E06302019,7160
'584092553170,IM,S07012019E07312019,1280
'315986047600,IM,S10012019E10312019,11880
'668100677200,IM,S10012019E10312019,8000
'533811047600,CHEM_PET,S11012019E11302019,3760
'090361380000,MET_ORE,S07012019E07312019,10720
'585650886540,AG_FOOD,S03012019E03312019,4440
'472600797152,MO_VEH,S10012019E10312019,2000
'853526880273,FOR_PROD,S06012019E06302019,3800
'849660576890,FOR_PROD,S04012019E04302019,4000
'396640547500,CHEM_PET,S04012019E04302019,3960
'380002439875,IM,S02012019E02282019,7200
'316930395650,MO_VEH,S10012019E10312019,6480
'708559849656,MET_ORE,S04012019E04302019,4200
'513415504730,AG_FOOD,S12012019E12312019,15444
'567500883252,IM,S09012019E09302019,960
